Date,Customer ID,Country,Product,Product Category,Units Sold,Product Price,Product Cost,Discount,Sale ID,Month,Year,Discount Revenue,Total Cost,Profit,Customer Type
7/16/2024,CUST0489,Brazil,EVGA SuperNOVA 750 G6 PSU,Power Supply,7,95.69,76.5,0.2,1,July,2024,535.864,535.5,0.364,Reseller
7/8/2024,CUST0427,USA,MSI B550 Tomahawk,Motherboard,10,190.77,112.53,0.2,2,July,2024,1526.16,1125.3,400.86,Individual
6/8/2025,CUST0285,France,EVGA SuperNOVA 750 G6 PSU,Power Supply,8,101.78,68.02,0.15,3,June,2025,692.104,544.16,147.944,Individual
1/5/2025,CUST0169,Brazil,ASUS ROG Strix Z690-F,Motherboard,1,365.22,188.95,0.1,4,January,2025,328.698,188.95,139.748,Individual
6/29/2024,CUST0050,Canada,ASUS ROG Strix Z690-F,Motherboard,7,351.65,265.46,0.1,5,June,2024,2215.395,1858.22,357.175,Business
6/7/2024,CUST0065,Germany,Logitech G915 Keyboard,Keyboard,8,240.81,123.05,0,6,June,2024,1926.48,984.4,942.08,Individual
5/28/2024,CUST0299,UK,HyperX Cloud II,Headset,8,99.46,50.84,0,7,May,2024,795.68,406.72,388.96,Individual
2/1/2024,CUST0261,Germany,AMD Radeon RX 7900 XT,GPU,9,961.77,713.06,0.2,8,February,2024,6924.744,6417.54,507.204,Reseller
4/27/2025,CUST0234,France,ASUS TUF Gaming 32 Monitor,Monitor,9,298.86,268.08,0,9,April,2025,2689.74,2412.72,277.02,Reseller
12/11/2023,CUST0371,Brazil,EVGA SuperNOVA 750 G6 PSU,Power Supply,5,121.37,93.79,0,10,December,2023,606.85,468.95,137.9,Individual
11/23/2023,CUST0155,Brazil,NVIDIA RTX 4080,GPU,5,1319.88,1011.8,0,11,November,2023,6599.4,5059,1540.4,Individual
4/28/2024,CUST0228,USA,NVIDIA RTX 4070 Ti,GPU,7,837.46,539.6,0,12,April,2024,5862.22,3777.2,2085.02,Individual
11/14/2024,CUST0423,Germany,WD Black SN850 2TB SSD,Storage,7,200.2,122.28,0,13,November,2024,1401.4,855.96,545.44,Reseller
6/18/2024,CUST0276,USA,MSI B550 Tomahawk,Motherboard,2,207.91,124.71,0.05,14,June,2024,395.029,249.42,145.609,Individual
11/27/2023,CUST0490,UK,G.Skill Trident Z 32GB DDR5,RAM,7,181.59,95.26,0.1,15,November,2023,1144.017,666.82,477.197,Business
1/25/2025,CUST0287,UK,Intel Core i9-13900K,CPU,2,548.04,390.72,0.05,16,January,2025,1041.276,781.44,259.836,Individual
3/8/2024,CUST0423,Germany,Samsung 970 EVO 1TB SSD,Storage,3,99.8,50.03,0,17,March,2024,299.4,150.09,149.31,Reseller
3/27/2025,CUST0321,Australia,Corsair Vengeance 16GB DDR4,RAM,4,65.01,54,0.1,18,March,2025,234.036,216,18.036,Business
8/19/2025,CUST0265,India,NVIDIA RTX 4070 Ti,GPU,5,846.94,715.06,0.05,19,August,2025,4022.965,3575.3,447.665,Reseller
1/2/2025,CUST0476,USA,WD Black SN850 2TB SSD,Storage,7,215.25,114.03,0.2,20,January,2025,1205.4,798.21,407.19,Business
5/10/2025,CUST0021,Germany,Seagate Barracuda 4TB HDD,Storage,1,85.83,46.95,0.1,21,May,2025,77.247,46.95,30.297,Reseller
7/26/2025,CUST0237,Canada,ASUS ROG Strix Z690-F,Motherboard,3,430.5,228.2,0.1,22,July,2025,1162.35,684.6,477.75,Individual
3/15/2025,CUST0275,UK,HyperX Cloud II,Headset,4,118.07,69.75,0.2,23,March,2025,377.824,279,98.824,Individual
8/20/2025,CUST0011,Germany,Corsair RM850x PSU,Power Supply,7,116.06,71.41,0.1,24,August,2025,731.178,499.87,231.308,Individual
3/6/2025,CUST0226,Germany,EVGA SuperNOVA 750 G6 PSU,Power Supply,4,113.79,72.53,0.05,25,March,2025,432.402,290.12,142.282,Individual
4/3/2024,CUST0424,Canada,G.Skill Trident Z 32GB DDR5,RAM,6,215.95,117.42,0.05,26,April,2024,1230.915,704.52,526.395,Individual
6/19/2025,CUST0345,Brazil,HyperX Cloud II,Headset,6,94.97,71.34,0.1,27,June,2025,512.838,428.04,84.798,Reseller
1/5/2024,CUST0176,Canada,WD Black SN850 2TB SSD,Storage,4,222.21,152.42,0.2,28,January,2024,711.072,609.68,101.392,Reseller
7/8/2024,CUST0082,UK,Logitech G Pro Superlight,Mouse,6,124.13,98.63,0,29,July,2024,744.78,591.78,153,Reseller
4/13/2025,CUST0191,Brazil,Razer Huntsman Elite,Keyboard,1,228.47,133.23,0.1,30,April,2025,205.623,133.23,72.393,Reseller
4/19/2024,CUST0121,Australia,ASUS TUF Gaming 32 Monitor,Monitor,1,286.53,195.39,0.15,31,April,2024,243.5505,195.39,48.1605,Individual
3/6/2025,CUST0068,Australia,Intel Core i9-13900K,CPU,7,610.48,532.67,0,32,March,2025,4273.36,3728.69,544.67,Reseller
4/30/2024,CUST0120,Canada,NVIDIA RTX 4070 Ti,GPU,4,697.55,602.36,0.1,33,April,2024,2511.18,2409.44,101.74,Business
1/19/2024,CUST0437,Canada,HyperX Cloud II,Headset,8,119.67,72.08,0,34,January,2024,957.36,576.64,380.72,Reseller
6/18/2025,CUST0042,France,Corsair Vengeance 16GB DDR4,RAM,1,87.66,44.29,0.1,35,June,2025,78.894,44.29,34.604,Business
11/19/2024,CUST0097,USA,NVIDIA RTX 4070 Ti,GPU,9,940.98,666.73,0.1,36,November,2024,7621.938,6000.57,1621.368,Individual
9/8/2023,CUST0335,Germany,HyperX Cloud II,Headset,1,109.35,78.69,0.15,37,September,2023,92.9475,78.69,14.2575,Business
10/23/2024,CUST0379,Germany,G.Skill Trident Z 32GB DDR5,RAM,10,181.72,135.44,0.2,38,October,2024,1453.76,1354.4,99.36,Individual
6/18/2025,CUST0249,UK,NVIDIA RTX 4080,GPU,1,1340.76,772.23,0.05,39,June,2025,1273.722,772.23,501.492,Reseller
9/8/2024,CUST0202,UK,Logitech G915 Keyboard,Keyboard,2,272.52,174.5,0.1,40,September,2024,490.536,349,141.536,Business
8/12/2025,CUST0107,Australia,HyperX Cloud II,Headset,5,109.93,70.71,0.15,41,August,2025,467.2025,353.55,113.6525,Business
7/5/2024,CUST0329,USA,HyperX Cloud II,Headset,1,111.14,57.62,0.15,42,July,2024,94.469,57.62,36.849,Individual
9/18/2024,CUST0153,UK,Corsair RM850x PSU,Power Supply,7,119.7,60.48,0.15,43,September,2024,712.215,423.36,288.855,Reseller
8/19/2025,CUST0254,France,AMD Ryzen 7 5800X,CPU,7,296.82,252.62,0.1,44,August,2025,1869.966,1768.34,101.626,Reseller
9/14/2024,CUST0158,USA,Intel Core i9-13900K,CPU,9,669.61,380.93,0.2,45,September,2024,4821.192,3428.37,1392.822,Individual
7/14/2025,CUST0020,USA,WD Black SN850 2TB SSD,Storage,1,221.03,197.11,0.2,46,July,2025,176.824,197.11,-20.286,Business
12/13/2023,CUST0491,USA,WD Black SN850 2TB SSD,Storage,9,235.51,137.11,0.15,47,December,2023,1801.6515,1233.99,567.6615,Individual
3/14/2025,CUST0414,Australia,WD Black SN850 2TB SSD,Storage,8,183.76,142.86,0,48,March,2025,1470.08,1142.88,327.2,Business
7/30/2025,CUST0146,USA,WD Black SN850 2TB SSD,Storage,6,217.45,154.47,0.2,49,July,2025,1043.76,926.82,116.94,Individual
6/8/2024,CUST0068,Australia,EVGA SuperNOVA 750 G6 PSU,Power Supply,3,106.31,68.98,0.1,50,June,2024,287.037,206.94,80.097,Reseller
3/31/2025,CUST0361,Brazil,G.Skill Trident Z 32GB DDR5,RAM,2,166.13,140.79,0.1,51,March,2025,299.034,281.58,17.454,Business
3/13/2024,CUST0286,India,MSI B550 Tomahawk,Motherboard,3,149.47,103.42,0.1,52,March,2024,403.569,310.26,93.309,Reseller
8/16/2025,CUST0208,USA,AMD Ryzen 7 5800X,CPU,4,291.47,236.4,0.05,53,August,2025,1107.586,945.6,161.986,Individual
6/30/2024,CUST0267,India,Razer Huntsman Elite,Keyboard,6,215.08,181.29,0.05,54,June,2024,1225.956,1087.74,138.216,Business
10/28/2023,CUST0373,Australia,Intel Core i9-13900K,CPU,8,583.56,517.34,0.15,55,October,2023,3968.208,4138.72,-170.512,Reseller
8/20/2024,CUST0262,France,Dell Ultrasharp 27 Monitor,Monitor,3,442.19,290.16,0,56,August,2024,1326.57,870.48,456.09,Business
12/20/2023,CUST0063,Brazil,Logitech G915 Keyboard,Keyboard,6,287.79,222.97,0,57,December,2023,1726.74,1337.82,388.92,Individual
2/28/2024,CUST0383,Australia,NVIDIA RTX 4070 Ti,GPU,1,755.73,406.61,0.1,58,February,2024,680.157,406.61,273.547,Business
