Date,CustomerID,Country,Item,Category,UnitsSold,ItemPrice,ItemCost,Discount
2025-06-08 19:47:39.604073,CUST0285,Brazil,EVGA SuperNOVA 750 G6 PSU,Power Supply,8,101.78,68.02,0.15
2024-06-07 19:47:39.604073,CUST0065,Germany,,Keyboard,8,240.81,123.05,0.0
2024-05-28 19:47:39.604073,CUST0299,India,HyperX Cloud II,Headset,8,99.46,50.84,0.0
2025-04-27 19:47:39.604073,CUST0234,France,ASUS TUF Gaming 32 Monitor,Monitor,9,298.86,268.08,0.0
2024-04-28 19:47:39.604073,CUST0228,Canada,NVIDIA RTX 4070 Ti,GPU,7,837.46,539.6,0.0
2024-03-08 19:47:39.604073,CUST0423,UK,Samsung 970 EVO 1TB SSD,Storage,3,99.8,50.03,0.0
2025-08-19 19:47:39.604073,CUST0265,USA,NVIDIA RTX 4070 Ti,GPU,5,846.94,715.06,0.05
2025-07-26 19:47:39.604073,CUST0237,UK,ASUS ROG Strix Z690-F,Motherboard,3,430.5,228.2,0.1
2025-03-06 19:47:39.604073,CUST0226,USA,EVGA SuperNOVA 750 G6 PSU,Power Supply,4,113.79,72.53,0.05
2024-04-03 19:47:39.604073,CUST0424,Brazil,G.Skill Trident Z 32GB DDR5,RAM,6,215.95,117.42,0.05
2024-11-18 19:47:39.604073,CUST0195,France,Logitech G915 Keyboard,Keyboard,9,231.0,124.22,0.2
2025-07-02 19:47:39.604073,CUST0306,UK,Corsair RM850x PSU,Power Supply,6,142.13,111.1,0.2
2023-12-15 19:47:39.604073,CUST0258,USA,AMD Radeon RX 7900 XT,GPU,4,784.12,650.93,0.0
2024-02-10 19:47:39.604073,CUST0449,UK,ASUS ROG Strix Z690-F,Motherboard,3,412.97,327.58,0.0
2025-08-04 19:47:39.604073,CUST0499,Brazil,WD Black SN850 2TB SSD,Storage,8,182.21,112.12,0.2
2024-07-12 19:47:39.604073,CUST0015,Canada,Samsung 970 EVO 1TB SSD,Storage,1,96.35,63.89,0.1
